Date,Biden,Trump
02. 07.,"37.43 % (Ipsos: 29.0 %, Ipsos: 32.0 %, Ipsos: 31.0 %, Ipsos: 34.0 %, Ipsos: 47.0 %, Ipsos: 38.0 %, Ipsos: 36.0 %, Ipsos: 39.0 %, Ipsos: 34.0 %, Ipsos: 36.0 %, Ipsos: 36.0 %, Ipsos: 42.0 %, Ipsos: 50.0 %, Ipsos: 40.0 %)","38.93 % (Ipsos: 37.0 %, Ipsos: 38.0 %, Ipsos: 37.0 %, Ipsos: 38.0 %, Ipsos: 35.0 %, Ipsos: 39.0 %, Ipsos: 36.0 %, Ipsos: 42.0 %, Ipsos: 40.0 %, Ipsos: 41.0 %, Ipsos: 40.0 %, Ipsos: 43.0 %, Ipsos: 39.0 %, Ipsos: 40.0 %)"
03. 02.,"39.67 % (Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 41.0 %, Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 37.0 %, Morning Consult: 41.0 %)","43.33 % (Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 45.0 %, Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research: 41.0 %, Morning Consult: 44.0 %)"
03. 03.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
03. 04.,"45.50 % (Emerson College: 42.0 %, Emerson College: 49.0 %)","47.00 % (Emerson College: 43.0 %, Emerson College: 51.0 %)"
03. 07.,"39.00 % (J.L. Partners: 42.0 %, J.L. Partners: 38.0 %, J.L. Partners: 37.0 %)","46.33 % (J.L. Partners: 47.0 %, J.L. Partners: 49.0 %, J.L. Partners: 43.0 %)"
04. 01.,"38.60 % (Noble Predictive Insights: 35.0 %, Noble Predictive Insights: 36.0 %, Noble Predictive Insights: 40.0 %, Noble Predictive Insights: 41.0 %, Morning Consult: 41.0 %)","42.80 % (Noble Predictive Insights: 41.0 %, Noble Predictive Insights: 41.0 %, Noble Predictive Insights: 44.0 %, Noble Predictive Insights: 45.0 %, Morning Consult: 43.0 %)"
04. 03.,44.00 % (Morning Consult: 44.0 %),43.00 % (Morning Consult: 43.0 %)
04. 04.,43.00 % (Morning Consult: 43.0 %),43.00 % (Morning Consult: 43.0 %)
04. 06.,42.00 % (YouGov: 42.0 %),42.00 % (YouGov: 42.0 %)
04. 07.,42.00 % (Morning Consult: 42.0 %),44.00 % (Morning Consult: 44.0 %)
04. 08.,"49.00 % (Morning Consult: 48.0 %, Marist College: 48.0 %, Marist College: 51.0 %)","45.67 % (Morning Consult: 44.0 %, Marist College: 45.0 %, Marist College: 48.0 %)"
05. 01.,"37.00 % (TIPP Insights: 34.0 %, TIPP Insights: 40.0 %)","39.00 % (TIPP Insights: 37.0 %, TIPP Insights: 41.0 %)"
05. 03.,42.00 % (YouGov: 42.0 %),44.00 % (YouGov: 44.0 %)
05. 04.,"40.50 % (TIPP Insights: 38.0 %, TIPP Insights: 43.0 %)","39.00 % (TIPP Insights: 38.0 %, TIPP Insights: 40.0 %)"
05. 06.,"44.00 % (Emerson College: 38.0 %, Emerson College: 50.0 %)","47.00 % (Emerson College: 44.0 %, Emerson College: 50.0 %)"
05. 08.,48.00 % (SurveyUSA: 48.0 %),45.00 % (SurveyUSA: 45.0 %)
06. 02.,43.00 % (YouGov: 43.0 %),44.00 % (YouGov: 44.0 %)
06. 03.,"46.50 % (Emerson College: 42.0 %, Emerson College: 51.0 %)","46.00 % (Emerson College: 43.0 %, Emerson College: 49.0 %)"
06. 06.,"42.67 % (Morning Consult: 43.0 %, Cygnal: 38.0 %, Cygnal: 45.0 %, YouGov: 42.0 %, YouGov: 46.0 %, RMG Research: 42.0 %)","43.67 % (Morning Consult: 44.0 %, Cygnal: 41.0 %, Cygnal: 47.0 %, YouGov: 43.0 %, YouGov: 44.0 %, RMG Research: 43.0 %)"
06. 07.,"40.00 % (Bendixen & Amandi International: 43.0 %, Bendixen & Amandi International: 37.0 %, Bendixen & Amandi International: 36.0 %, Bendixen & Amandi International: 42.0 %, Bendixen & Amandi International: 42.0 %)","41.00 % (Bendixen & Amandi International: 41.0 %, Bendixen & Amandi International: 40.0 %, Bendixen & Amandi International: 40.0 %, Bendixen & Amandi International: 41.0 %, Bendixen & Amandi International: 43.0 %)"
06. 08.,45.00 % (YouGov: 45.0 %),43.00 % (YouGov: 43.0 %)
